lead_time,retweet_count,username,updated_at,like_count,text,annotation_id,created_at,id,Unnamed: 0,sentiment,annotator
2.503,0.0,tanyakanrl,2023-02-27T15:16:42.618990Z,0.0,tanyarl ,,,,,,
"cw // song joongki, hars word",,,,,,,,,,,
katyperry join the club✨️ https://t.co/K5Kguzgh0K,2422.0,2023-02-27T15:16:42.618990Z,2597,0.0,Negative,1.0,,,,,
1.118,0.0,tanyakanrl,2023-02-27T15:16:44.077732Z,0.0,cw // kulit ,,,,,,
Ada yang tau cara ngilangin bekas (ga tau ini namanya apa) di kulit kayak gini kah? Ini aku abis ambi… https://t.co/3ZIIsPVs3u,2423.0,2023-02-27T15:16:44.077732Z,2598,1.0,Negative,1.0,,,,,
2.25,0.0,tanyakanrl,2023-02-27T15:16:46.622638Z,0.0,"💚 guys, saranin ch YouTube kayak Nadia O'Mara, hirotada, Nessie, Ewing, dong. TIA",2424.0,2023-02-27T15:16:46.622638Z,2599.0,2.0,Positive,1.0
0.965,0.0,tanyakanrl,2023-02-27T15:16:48.083514Z,0.0,💚 ada gak sih orang yg gak suka ditanya gimn hari nya,2425.0,2023-02-27T15:16:48.083514Z,2600.0,3.0,Positive,1.0
1.153,0.0,tanyakanrl,2023-02-27T15:16:49.565650Z,0.0,"💚 orang lain yg di bentak yg dimarahin, kok gw yg gemeter + deg2an 🥲 huehuehue",2426.0,2023-02-27T15:16:49.565650Z,2601.0,4.0,Positive,1.0
1.358,0.0,tanyakanrl,2023-02-27T15:16:51.218077Z,0.0,"User ip, brightness wa sender itu cahayanya teraaang banget, kalo keluar wa cahayanya jadi normal, padahal cahayany… https://t.co/bmA0f6xer6",2427.0,2023-02-27T15:16:51.218077Z,2602.0,5.0,Negative,1.0
1.214,0.0,tanyakanrl,2023-02-27T15:16:52.720266Z,0.0,💚 ada yg nyari pasien buat koas gigi sukabumi ga ya?,2428.0,2023-02-27T15:16:52.720266Z,2603.0,6.0,Positive,1.0
1.124,0.0,tanyakanrl,2023-02-27T15:16:54.116661Z,1.0,"Sedih banget emg ldr tu, kami dah ldr 1,5 tahun😞 gimana kalian yang ldr? tanyarl https://t.co/FseMFGgV7p",2429.0,2023-02-27T15:16:54.116661Z,2604.0,7.0,Negative,1.0
1.059,0.0,tanyakanrl,2023-02-27T15:16:55.729975Z,6.0,💚 aku yang kadang dibeliin pembalut sama bapak 😀 https://t.co/FZirRnIBb6,2430.0,2023-02-27T15:16:55.729975Z,2605.0,8.0,Negative,1.0
1.934,0.0,tanyakanrl,2023-02-27T15:16:57.938123Z,0.0,"💚 maksud ""Ln"" di Facebook itu apa? Sender baru main fb bingung bener dah yang punya ilmu jitu cara main fb boleh drop lah. Tia",2431.0,2023-02-27T15:16:57.938123Z,2606.0,9.0,Positive,1.0
1.197,0.0,tanyakanrl,2023-02-27T15:16:59.396063Z,1.0,"💚 emang bener, ga tidur dari pulang kerja sampe ketemu kerja lg tuh bahaya bgt. sender habis ngebuat masalah antara… https://t.co/A2VJix0zPF",2432.0,2023-02-27T15:16:59.396063Z,2607.0,10.0,Negative,1.0
1.404,0.0,tanyakanrl,2023-02-27T15:17:01.063225Z,1.0,"💚 kata nya kita berhak menjauh dari sesuatu yang nyakitin kita, masa iya gue harus menjauh dari sekolahan gue?",2433.0,2023-02-27T15:17:01.063225Z,2608.0,11.0,Positive,1.0
0.792,0.0,tanyakanrl,2023-02-27T15:17:02.215964Z,0.0,💚 kalian kalo libur ngampus ngapain aja? sender gabut banget gatau harus ngapain):,2434.0,2023-02-27T15:17:02.215964Z,2609.0,12.0,Positive,1.0
1.292,0.0,tanyakanrl,2023-02-27T15:17:03.826841Z,5.0,💚 kakak kakak yg udah lulus gurunya kek gini juga gak? https://t.co/Kuw7Z2hRRK,2435.0,2023-02-27T15:17:03.826841Z,2610.0,13.0,Negative,1.0
1.146,0.0,tanyakanrl,2023-02-27T15:17:05.279831Z,4.0,💚 guys bagi nomor bot stiker wa dong 🥰,2436.0,2023-02-27T15:17:05.279831Z,2611.0,14.0,Positive,1.0
1.05,0.0,tanyakanrl,2023-02-27T15:17:06.624721Z,2.0,"aku biasanya sih nonton film/drama gitu, tpi lagi mood, enaknya ngapain ya selain tidur, aku dah cape tidur seharia… https://t.co/a2igYgvbo8",2437.0,2023-02-27T15:17:06.624721Z,2612.0,15.0,Negative,1.0
0.967,0.0,tanyakanrl,2023-02-27T15:17:07.864171Z,9.0,💚 Dia masuk islam kh? https://t.co/ibFMncatwM,2438.0,2023-02-27T15:17:07.864171Z,2613.0,16.0,Negative,1.0
1.917,0.0,tanyakanrl,2023-02-27T15:17:10.073743Z,0.0,💚 boleh saran puisi yang bagus buat dibacain pas nanti maju di depan kelas?? tapi jangan yg tema percintaan gituu makasiii,2439.0,2023-02-27T15:17:10.073743Z,2614.0,17.0,Positive,1.0
1.583,0.0,tanyakanrl,2023-02-27T15:17:11.937035Z,0.0,"💚 gais coba ceritain pengalaman magang kalian, kok sender takut ya.. 😭",2440.0,2023-02-27T15:17:11.937035Z,2615.0,18.0,Positive,1.0
1.038,0.0,tanyakanrl,2023-02-27T15:17:13.328116Z,17.0,💚 ayooo main qrt random,2441.0,2023-02-27T15:17:13.328116Z,2616.0,19.0,Positive,1.0
1.168,0.0,tanyakanrl,2023-02-27T15:17:14.803036Z,1.0,💚 mi ni mal li ma ka ta https://t.co/rQjg2C5EwI,2442.0,2023-02-27T15:17:14.803036Z,2617.0,20.0,Negative,1.0
