,id,annotations,file_upload,drafts,predictions,data,meta,created_at,updated_at,inner_id,total_annotations,cancelled_annotations,total_predictions,comment_count,unresolved_comment_count,last_comment_updated_at,project,updated_by,comment_authors
0,1598,"[{'id': 1421, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'FoRcSOCi8s', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:22:49.164309Z', 'updated_at': '2023-02-27T06:22:49.164309Z', 'lead_time': 2.8449999999999998, 'prediction': {}, 'result_count': 0, 'task': 1598, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 0, 'id': 1624280344945119232, 'username': 'umayshhhhb', 'text': '@shenacinnamon @Cinefoxxid https://t.co/r4kBiQrM9t', 'retweet_count': 7, 'like_count': 181, 'created_at': '2023-02-11 05:33:06+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:22:49.224068+00:00,1,1,0,0,0,0,,14,1,[]
1,1599,"[{'id': 1422, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'rB19u1RtIy', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:23:45.274461Z', 'updated_at': '2023-02-27T06:23:45.274461Z', 'lead_time': 55.761, 'prediction': {}, 'result_count': 0, 'task': 1599, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 1, 'id': 1624271086115504129, 'username': 'umayshhhhb', 'text': 'btw dengerin lagu2nya jek enak enak \nhttps://t.co/g8MVh1wM82', 'retweet_count': 1, 'like_count': 57, 'created_at': '2023-02-11 04:56:19+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:23:45.426081+00:00,2,1,0,0,0,0,,14,1,[]
2,1600,"[{'id': 1423, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'wzwPEugXVB', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:23:55.939332Z', 'updated_at': '2023-02-27T06:23:55.939332Z', 'lead_time': 10.16, 'prediction': {}, 'result_count': 0, 'task': 1600, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 2, 'id': 1624271075562622976, 'username': 'umayshhhhb', 'text': 'Selamat Menikah jek &amp; disa dari kami yang menjodohkan kalian 🥲😁 https://t.co/ZdR2htLsrw', 'retweet_count': 57, 'like_count': 3145, 'created_at': '2023-02-11 04:56:16+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:23:55.996340+00:00,3,1,0,0,0,0,,14,1,[]
3,1601,"[{'id': 1424, 'completed_by': 1, 'result': [{'value': {'choices': ['Positive']}, 'id': 'sfcOSCh0Xn', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:23:59.279865Z', 'updated_at': '2023-02-27T06:23:59.279865Z', 'lead_time': 3.007, 'prediction': {}, 'result_count': 0, 'task': 1601, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 3, 'id': 1623943406996312065, 'username': 'umayshhhhb', 'text': '@inarahsyarafina lu yang bikin tweet menfess itu ya', 'retweet_count': 0, 'like_count': 94, 'created_at': '2023-02-10 07:14:14+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:23:59.337477+00:00,4,1,0,0,0,0,,14,1,[]
4,1602,"[{'id': 1425, 'completed_by': 1, 'result': [{'value': {'choices': ['Positive']}, 'id': 'WhHX5ovmhB', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:24:01.386283Z', 'updated_at': '2023-02-27T06:24:01.391803Z', 'lead_time': 1.746, 'prediction': {}, 'result_count': 0, 'task': 1602, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 4, 'id': 1623926236241338369, 'username': 'umayshhhhb', 'text': '@kristoimmanuel diem to', 'retweet_count': 0, 'like_count': 528, 'created_at': '2023-02-10 06:06:00+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:24:01.447712+00:00,5,1,0,0,0,0,,14,1,[]
5,1603,"[{'id': 1426, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 't0bvh4MV1L', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:24:03.324564Z', 'updated_at': '2023-02-27T06:24:03.324564Z', 'lead_time': 1.557, 'prediction': {}, 'result_count': 0, 'task': 1603, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 5, 'id': 1623925854027014145, 'username': 'umayshhhhb', 'text': 'gw diem aja dibilang mirip gofar lah dibilang mirip lee soo man lah, terus sekarang ade lagiii https://t.co/aszhRdYLew', 'retweet_count': 90, 'like_count': 2493, 'created_at': '2023-02-10 06:04:29+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:24:03.384473+00:00,6,1,0,0,0,0,,14,1,[]
6,1604,"[{'id': 1427, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'P01E_V68bn', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:24:04.854535Z', 'updated_at': '2023-02-27T06:24:04.854535Z', 'lead_time': 1.164, 'prediction': {}, 'result_count': 0, 'task': 1604, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 6, 'id': 1623920362282164225, 'username': 'umayshhhhb', 'text': '@Pakjwoochanlii https://t.co/PVsbi17Zif', 'retweet_count': 37, 'like_count': 2267, 'created_at': '2023-02-10 05:42:40+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:24:04.904156+00:00,7,1,0,0,0,0,,14,1,[]
7,1605,"[{'id': 1428, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'OkJMxVdktQ', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:24:06.629616Z', 'updated_at': '2023-02-27T06:24:06.629616Z', 'lead_time': 1.471, 'prediction': {}, 'result_count': 0, 'task': 1605, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 7, 'id': 1623898962339184640, 'username': 'umayshhhhb', 'text': 'saya ama ini aja dah cukup 🙏🏼 https://t.co/4d5xe7b6gw https://t.co/m9zgs1EOyc', 'retweet_count': 680, 'like_count': 19969, 'created_at': '2023-02-10 04:17:37+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:24:06.694380+00:00,8,1,0,0,0,0,,14,1,[]
8,1606,"[{'id': 1429, 'completed_by': 1, 'result': [{'value': {'choices': ['Positive']}, 'id': 'cJnOSj4HWE', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:24:07.937060Z', 'updated_at': '2023-02-27T06:24:07.937060Z', 'lead_time': 0.9500000000000001, 'prediction': {}, 'result_count': 0, 'task': 1606, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 8, 'id': 1623725815505780736, 'username': 'umayshhhhb', 'text': '@Jmachcy kepencet... maap bet :))))', 'retweet_count': 0, 'like_count': 205, 'created_at': '2023-02-09 16:49:36+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:24:08.009506+00:00,9,1,0,0,0,0,,14,1,[]
9,1607,"[{'id': 1430, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'NWBS-Z51KN', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T06:24:09.339095Z', 'updated_at': '2023-02-27T06:24:09.339095Z', 'lead_time': 1.086, 'prediction': {}, 'result_count': 0, 'task': 1607, 'project': 14, 'parent_prediction': None, 'parent_annotation': None}]",fca87b16-human_umay.csv,[],[],"{'Unnamed: 0': 9, 'id': 1623723428233748481, 'username': 'umayshhhhb', 'text': '@KuntoAjiW video curt lg nyobain https://t.co/TRehCO1ZxN', 'retweet_count': 1, 'like_count': 43, 'created_at': '2023-02-09 16:40:07+00:00'}",{},2023-02-27 06:22:42.115553+00:00,2023-02-27 06:24:09.404121+00:00,10,1,0,0,0,0,,14,1,[]
