annotator,updated_at,annotation_id,sentiment,retweet_count,text,like_count,Unnamed: 0,lead_time,created_at,id,username
1,2023-02-27T05:41:08.606072Z,1024,Neutral,0,@nanaaicecream @kochengfs Lh itu blang mati,0,0,14.077,2023-02-27T05:41:08.606072Z,1201,GajahDu69356383
1,2023-02-27T05:41:11.107426Z,1025,Neutral,0,@yins123 @BesookSenin @idextratime Knp g cri sendiri?,0,1,2.204,2023-02-27T05:41:11.107426Z,1202,GajahDu69356383
1,2023-02-27T05:41:12.357336Z,1026,Neutral,0,@tegarurrrrrr @idextratime Tpi menurut ku sih madrid msih mending,1,2,0.956,2023-02-27T05:41:12.357336Z,1203,GajahDu69356383
1,2023-02-27T05:41:13.436382Z,1027,Neutral,0,@rizkybakoo @idextratime Bleh jdi Template nih,0,3,0.778,2023-02-27T05:41:13.436382Z,1204,GajahDu69356383
1,2023-02-27T05:41:14.962094Z,1028,Negative,0,@18fesss Haram kok bangga, tolol,0,4,1.232,2023-02-27T05:41:14.962094Z,1205,GajahDu69356383
1,2023-02-27T05:41:16.137476Z,1029,Negative,0,@18fesss Mngkannya gausah ngewe blok, tolol
Hamil diluar nikah bingung, pas ngewe ga mikirin slanjutnya gimana,0,5,0.855,2023-02-27T05:41:16.137476Z,1206,GajahDu69356383
1,2023-02-27T05:41:17.942701Z,1030,Neutral,0,@convomfs Gak jelas, alay.,0,6,1.535,2023-02-27T05:41:17.942701Z,1207,GajahDu69356383
1,2023-02-27T05:41:19.554630Z,1031,Negative,0,@tanyarlfes TOLOL, LONTE.,0,7,1.333,2023-02-27T05:41:19.554630Z,1208,GajahDu69356383
1,2023-02-27T05:41:21.309760Z,1032,Neutral,0,@18fesss GAK JELAS,1,8,1.493,2023-02-27T05:41:21.309760Z,1209,GajahDu69356383
1,2023-02-27T05:41:22.542615Z,1033,Neutral,0,@18fesss BUANG BUANG WAKTU.,0,9,0.972,2023-02-27T05:41:22.542615Z,1210,GajahDu69356383
1,2023-02-27T05:41:24.574212Z,1034,Neutral,0,@18fesss Stress.,0,10,1.556,2023-02-27T05:41:24.574212Z,1211,GajahDu69356383
1,2023-02-27T05:41:26.318112Z,1035,Negative,0,@18fesss BULLSHITTTT!!! PIKIRRR SENDIRI TOLOL BEGO, LONTE.,0,11,1.451,2023-02-27T05:41:26.318112Z,1212,GajahDu69356383
1,2023-02-27T05:41:31.638560Z,1036,Negative,0,@18fesss Ngewe sambil ditusuk katana,0,12,5.02,2023-02-27T05:41:31.638560Z,1213,GajahDu69356383
1,2023-02-27T05:41:33.112814Z,1037,Negative,0,@18fesss Lu pikir sendiri lah goblok, tolol. Giliran gini mlah warga twitter yg d sruh mikir. 
Mati aja taek, pas s… https://t.co/nytIbJqYdG,0,13,1.18,2023-02-27T05:41:33.112814Z,1214,GajahDu69356383
